,City,Cloudiness,Country,Date,Temperature,Max Temp,Latitude,Longitude,Humidity,Wind Speed
0,Norman Wells,90,CA,1537930800,32.0,32.0,65.28,-126.83,87,14.99
1,Komsomolskiy,92,RU,1537934148,44.6,44.6,67.55,63.78,98,11.5
2,Puerto Ayora,56,EC,1537934149,70.25,70.25,-0.74,-90.35,99,9.82
3,Kavieng,0,PG,1537934149,86.72,86.72,-2.57,150.8,96,12.28
4,Busselton,48,AU,1537934149,59.18,59.18,-33.64,115.35,100,8.48
5,Ushuaia,20,AR,1537930800,35.6,35.6,-54.81,-68.31,69,5.82
6,Namibe,0,AO,1537934150,63.77,63.77,-15.19,12.15,100,5.79
7,Punta Arenas,0,CL,1537930800,32.0,32.0,-53.16,-70.91,100,3.36
8,Kaitong,0,CN,1537934154,64.85,64.85,44.81,123.15,81,4.68
9,Sao Joao da Barra,8,BR,1537934154,75.02,75.02,-21.64,-41.05,96,23.02
10,Coxim,20,BR,1537934155,77.63,77.63,-18.5,-54.75,61,7.81
11,Tuktoyaktuk,20,CA,1537930800,26.6,26.6,69.44,-133.03,86,12.75
12,Arraial do Cabo,36,BR,1537934155,72.59,72.59,-22.97,-42.02,95,18.99
13,Weihe,92,CN,1537934156,55.58,55.58,32.99,105.33,99,2.33
14,Mar del Plata,8,AR,1537934156,34.88,34.88,-46.43,-67.52,100,3.67
15,Teculutan,56,GT,1537934156,69.17,69.17,14.98,-89.72,68,1.54
16,Aklavik,75,CA,1537930800,26.6,26.6,68.22,-135.01,86,8.05
17,Khatanga,0,RU,1537934157,33.89,33.89,71.98,102.47,92,9.82
18,Luderitz,12,NA,1537934157,51.08,51.08,-26.65,15.16,92,12.5
19,Lavrentiya,0,RU,1537934157,44.33,44.33,65.58,-170.99,91,6.8
20,Rikitea,80,PF,1537934158,72.32,72.32,-23.12,-134.97,100,23.13
21,Alekseyevsk,92,RU,1537934158,48.83,48.83,57.84,108.35,83,3.44
22,Ancud,0,CL,1537934158,37.94,37.94,-41.87,-73.83,89,1.1
23,Orange Walk,20,JM,1537930800,82.4,82.4,17.93,-76.27,78,3.36
24,Hobart,20,AU,1537930800,55.4,55.4,-42.88,147.33,54,11.41
25,Banikoara,0,BJ,1537934159,74.75,74.75,11.3,2.44,84,9.48
26,Visby,92,SE,1537932000,51.8,51.8,57.64,18.3,81,24.16
27,Sept-Iles,90,CA,1537931580,46.4,46.4,50.2,-66.38,100,5.82
28,Calbuco,0,CL,1537930800,37.4,37.4,-41.77,-73.13,93,1.12
29,Pochutla,56,MX,1537934160,81.05,81.05,15.74,-96.47,100,4.23
30,Ponta do Sol,76,BR,1537934160,74.66,74.66,-20.63,-46.0,42,7.58
31,Sidrolandia,0,BR,1537930800,71.6,71.6,-20.93,-54.96,83,12.75
32,Alihe,0,CN,1537934161,60.35,60.35,50.57,123.73,60,3.56
33,Margate,20,AU,1537932600,57.2,57.2,-43.03,147.26,47,10.29
34,Mataura,92,NZ,1537934162,45.41,45.41,-46.19,168.86,71,19.77
35,Bandarbeyla,100,SO,1537934164,77.0,77.0,9.49,50.81,97,19.33
